Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.374124,7.374124,7.291268,7.291268,1.526558,407940
1962-01-03,7.291268,7.355003,7.291268,7.355003,1.539900,305955
1962-01-04,7.355003,7.355003,7.278521,7.281708,1.524556,274575
1962-01-05,7.272148,7.272148,7.125558,7.138305,1.494531,384405
1962-01-08,7.131931,7.131931,6.947100,7.004461,1.466508,572685
1962-01-09,7.036329,7.176546,7.036329,7.087317,1.483857,517770
1962-01-10,7.100064,7.131931,7.100064,7.100064,1.486526,313800
1962-01-11,7.119184,7.176546,7.119184,7.176546,1.502539,337335
1962-01-12,7.189293,7.240280,7.189293,7.189293,1.505207,462855
1962-01-15,7.214786,7.237094,7.214786,7.221160,1.511878,266730
1962-01-16,7.214786,7.214786,7.144678,7.144678,1.495864,266730
1962-01-17,7.112811,7.112811,7.010835,7.029955,1.471846,439320
1962-01-18,7.049076,7.119184,7.049076,7.049076,1.475849,392250
1962-01-19,7.049076,7.068196,6.972594,7.055449,1.477183,423630
1962-01-22,7.055449,7.125558,7.036329,7.042702,1.474515,290265
1962-01-23,7.039516,7.049076,6.959847,6.972594,1.459836,392250
1962-01-24,6.972594,7.010835,6.937540,7.010835,1.467842,431475
1962-01-25,7.010835,7.068196,6.921606,6.934353,1.451830,337335
1962-01-26,6.934353,6.959847,6.896112,6.899299,1.444491,258885
1962-01-29,6.899299,6.947100,6.781389,6.781389,1.419804,611910
1962-01-30,6.781389,6.819630,6.695347,6.695347,1.401790,776655
1962-01-31,6.762269,6.908859,6.762269,6.908859,1.446493,800190
1962-02-01,6.978967,7.087317,6.978967,7.068196,1.479852,674670
1962-02-02,7.068196,7.112811,7.036329,7.112811,1.489193,533460
1962-02-05,7.112811,7.112811,6.985341,7.023582,1.470512,329490
1962-02-06,7.023582,7.036329,6.998088,7.029955,1.472046,274575
1962-02-07,7.036329,7.074570,7.036329,7.036329,1.473380,266730
1962-02-08,7.036329,7.074570,7.036329,7.042702,1.474716,23535
1962-02-09,7.042702,7.093690,7.010835,7.093690,1.485393,455010
1962-02-12,7.093690,7.151052,7.087317,7.100064,1.486728,298110
1962-02-13,7.100064,7.106437,6.985341,6.985341,1.462705,274575
1962-02-14,6.985341,7.010835,6.959847,6.972594,1.460035,219660
1962-02-15,6.972594,6.972594,6.940727,6.947100,1.454697,243195
1962-02-16,6.947100,6.972594,6.940727,6.940727,1.453363,235350
1962-02-19,6.940727,6.972594,6.857871,6.870618,1.438683,298110
1962-02-20,6.873805,6.908859,6.873805,6.873805,1.439350,305955
1962-02-21,6.873805,6.921606,6.822817,6.822817,1.428672,384405
1962-02-23,6.832377,6.857871,6.832377,6.845124,1.433343,305955
1962-02-26,6.845124,6.851498,6.806883,6.819630,1.428005,313800
1962-02-27,6.819630,6.876992,6.781389,6.832377,1.430676,368715
1962-02-28,6.832377,6.845124,6.794136,6.845124,1.433343,282420
1962-03-01,6.870618,6.927980,6.870618,6.927980,1.450693,298110
1962-03-02,6.985341,7.023582,6.985341,6.985341,1.462705,258885
1962-03-05,6.985341,6.985341,6.934353,6.959847,1.457365,376560
1962-03-06,6.959847,6.991714,6.947100,6.966221,1.458701,196125
1962-03-07,6.966221,6.988528,6.947100,6.988528,1.463372,133365
1962-03-08,6.988528,7.004461,6.947100,7.004461,1.466707,196125
1962-03-09,7.010835,7.049076,7.010835,7.049076,1.476049,305955
1962-03-12,7.049076,7.068196,7.023582,7.042702,1.474716,298110
1962-03-13,7.042702,7.042702,7.010835,7.036329,1.473380,133365
1962-03-14,7.036329,7.055449,7.010835,7.023582,1.470713,211815
1962-03-15,7.023582,7.061823,7.010835,7.010835,1.468042,258885
1962-03-16,7.010835,7.042702,7.010835,7.042702,1.474716,172590
1962-03-19,7.055449,7.087317,7.055449,7.061823,1.478719,392250
1962-03-20,7.049076,7.049076,7.017208,7.017208,1.469378,172590
